web-scraper-order,web-scraper-start-url,bag,bag-href,metin,tarih
"1549397025-490","http://www.hurriyet.com.tr/arama/#/?page=24&key=ibm&where=/&how=Article&platform=/&isDetail=false","Karşıyaka'da 'sihirli' buluşma                                 Karşıyaka'da 'sihirli' buluşma","http://www.hurriyet.com.tr/karsiyakada-sihirli-bulusma-40205709","Karşıyaka'da 'sihirli' buluşma","null"
"1549377436-127","http://www.hurriyet.com.tr/arama/#/?page=71&key=ibm&where=/&how=Article&platform=/&isDetail=false","Akıllı Simon 20 yaşında                                 DÜNYANIN ilk akıllı telefonu olarak kabul edilen IBM Simon’ın piyasaya çıkışının 20. yıldönümünün İngiltere’nin başkenti Londra’daki Bilim Müzesi’nde düzenlenecek özel bir sergi ile kutlanacağı açıklandı.","http://www.hurriyet.com.tr/dunya/akilli-simon-20-yasinda-27023387","DÜNYANIN ilk akıllı telefonu olarak kabul edilen IBM Simon’ın piyasaya çıkışının 20. yıldönümünün İngiltere’nin başkenti Londra’daki Bilim Müzesi’nde düzenlenecek özel bir sergi ile kutlanacağı açıklandı.","18.08.2014 - 00:31"
"1549377713-178","http://www.hurriyet.com.tr/arama/#/?page=63&key=ibm&where=/&how=Article&platform=/&isDetail=false","Amerika’da gelir adaletsizliği artıyor                                 CALIFORNIA Berkeley Üniversitesi’nden Emmanuel Saez’in çalışmasına göre 2012 yılında ABD’nin en çok kazanan yüzde 1’lik kesimi ülkenin toplam hane halkı gelirinin yüzde 19,3’ünü elde etti.","http://www.hurriyet.com.tr/ekonomi/amerika-da-gelir-adaletsizligi-artiyor-25249565","CALIFORNIA Berkeley Üniversitesi’nden Emmanuel Saez’in çalışmasına göre 2012 yılında ABD’nin en çok kazanan yüzde 1’lik kesimi ülkenin toplam hane halkı gelirinin yüzde 19,3’ünü elde etti.","01.12.2013 - 00:52"
"1549412302-619","http://www.hurriyet.com.tr/arama/#/?page=10&key=ibm&where=/&how=Article&platform=/&isDetail=false","TÜSİAD “Bu Gençlikte İş Var!” eğitim kampı sona erdi                                 TÜSİAD “Bu Gençlikte İş Var!” eğitim kampı sona erdi","http://www.hurriyet.com.tr/tusiad-bu-genclikte-is-var-egitim-kampi-sona-40739811","TÜSİAD “Bu Gençlikte İş Var!” eğitim kampı sona erdi","null"
"1549378270-283","http://www.hurriyet.com.tr/arama/#/?page=49&key=ibm&where=/&how=Article&platform=/&isDetail=false","Citigroup dolarda yükseliş bekliyor                                 Dünyanın en büyük bankacılık gruplarından olan Citigroup, dolarda yükselişin devam edeceğini öngördü.","http://www.hurriyet.com.tr/gundem/citigroup-dolarda-yukselis-bekliyor-8702857","Dünyanın en büyük bankacılık gruplarından olan Citigroup, dolarda yükselişin devam edeceğini öngördü.","15.04.2008 - 09:32"
"1549385662-403","http://www.hurriyet.com.tr/arama/#/?page=34&key=ibm&where=/&how=Article&platform=/&isDetail=false","Dünya basınından manşetler - 5 Ekim                                 Dünyanın önde gelen basın organlarının politika ve ekonomi alanında bugünkü manşetleri ve öne çıkardıkları haberler aşağıda yer almaktadır:","http://www.hurriyet.com.tr/gundem/dunya-basinindan-mansetler-5-ekim-12622298","Dünyanın önde gelen basın organlarının politika ve ekonomi alanında bugünkü manşetleri ve öne çıkardıkları haberler aşağıda yer almaktadır:","05.10.2009 - 10:40"
"1549404405-555","http://www.hurriyet.com.tr/arama/#/?page=17&key=ibm&where=/&how=Article&platform=/&isDetail=false","İzmir'den ABD'ye uzanan başarı                                 İzmir'den ABD'ye uzanan başarı","http://www.hurriyet.com.tr/izmirden-abdye-uzanan-basari-40470258","İzmir'den ABD'ye uzanan başarı","null"
"1549378132-258","http://www.hurriyet.com.tr/arama/#/?page=53&key=ibm&where=/&how=Article&platform=/&isDetail=false","280 milyar dolarlık Microsoft’u yarattı 62 milyar dolarlık servetle emekli oldu                                 Dünyanın en büyük yazılım şirketi Microsoft’un kurucusu ve baş yazılım mimarı Bill Gates, dün 52 yaşında emekli oldu.","http://www.hurriyet.com.tr/gundem/280-milyar-dolarlik-microsoft-u-yaratti-62-milyar-dolarlik-servetle-emekli-oldu-9296923","Dünyanın en büyük yazılım şirketi Microsoft’un kurucusu ve baş yazılım mimarı Bill Gates, dün 52 yaşında emekli oldu.","28.06.2008 - 07:13"
"1549383970-390","http://www.hurriyet.com.tr/arama/#/?page=35&key=ibm&where=/&how=Article&platform=/&isDetail=false","VMware'de atama                                 Bulut bilişim ve sanallaştırma alanında önemli isimlerden VMware Türkiye ülke müdürlüğüne Mehmet Emrali'yi atadı.","http://www.hurriyet.com.tr/teknoloji/vmwarede-atama-22792321","Bulut bilişim ve sanallaştırma alanında önemli isimlerden VMware Türkiye ülke müdürlüğüne Mehmet Emrali'yi atadı.","12.03.2013 - 10:09"
"1549412766-623","http://www.hurriyet.com.tr/arama/#/?page=10&key=ibm&where=/&how=Article&platform=/&isDetail=false","Rapor: Uzman ve yöneticilerin yüzde 59’u küresel risklerin arttığını belirtiyor                                 Rapor: Uzman ve yöneticilerin yüzde 59’u küresel risklerin arttığını belirtiyor","http://www.hurriyet.com.tr/rapor-uzman-ve-yoneticilerin-yuzde-59u-kurese-40796747","Rapor: Uzman ve yöneticilerin yüzde 59’u küresel risklerin arttığını belirtiyor","null"
"1549377209-84","http://www.hurriyet.com.tr/arama/#/?page=76&key=ibm&where=/&how=Article&platform=/&isDetail=false","8 aylık sorun çözüldü                                 AMD, 8 aydır çözemediği dev sorununu sonunda çözdü! İşte AMD'nin yeni kaptanı...","http://www.hurriyet.com.tr/teknoloji/8-aylik-sorun-cozuldu-18591621","AMD, 8 aydır çözemediği dev sorununu sonunda çözdü! İşte AMD'nin yeni kaptanı...","27.08.2011 - 11:25"
"1549404014-552","http://www.hurriyet.com.tr/arama/#/?page=18&key=ibm&where=/&how=Article&platform=/&isDetail=false","Galaxy S8'de fiziksel Home butonu olsaydı nasıl olurdu?                                 Galaxy S8 fiziksel home düğmesini kaldırarak iyi bir iş yaptı; peki ama home düğmesi olsaydı nasıl görünecekti? Cevap, Samsung'un bu patentinde gizli!","http://www.hurriyet.com.tr/teknoloji/galaxy-s8de-fiziksel-home-butonu-olsaydi-nasil-olurdu-40445382","Galaxy S8 fiziksel home düğmesini kaldırarak iyi bir iş yaptı; peki ama home düğmesi olsaydı nasıl görünecekti? Cevap, Samsung'un bu patentinde gizli!","03.05.2017 - 07:53"
"1549401996-534","http://www.hurriyet.com.tr/arama/#/?page=20&key=ibm&where=/&how=Article&platform=/&isDetail=false","Kendi içimize bakıp bizleri birleştiren şeyler üzerine odaklansak...                                 Hayal Pozantı, Türkiye’deki ilk kişisel sergisini açtı. Sanatçı, ‘.tr’ adlı sergisinde, bilişim tarihinden ve istatistiklerinden ilham alarak oluşturduğu resimlerine yer veriyor. Pozantı’yla konuştuk.","http://www.hurriyet.com.tr/kelebek/keyif/kendi-icimize-bakip-bizleri-birlestiren-seyler-uzerine-odaklansak-40398388","Hayal Pozantı, Türkiye’deki ilk kişisel sergisini açtı. Sanatçı, ‘.tr’ adlı sergisinde, bilişim tarihinden ve istatistiklerinden ilham alarak oluşturduğu resimlerine yer veriyor. Pozantı’yla konuştuk.","17.03.2017 - 15:06"
"1549391520-446","http://www.hurriyet.com.tr/arama/#/?page=28&key=ibm&where=/&how=Article&platform=/&isDetail=false","Btm Yeni Döneme Hazır                                 BURSA BİLİM VE TEKNOLOJİ MERKEZİ, YENİ EĞİTİM VE ÖĞRETİM YILINDA ÖĞRENCİLERİ BİLİMİN EĞLENCELİ HALİYLE BULUŞTURMAYA DEVAM EDİYOR.","http://www.hurriyet.com.tr/btm-yeni-doneme-hazir-37176415","Btm Yeni Döneme Hazır","null"
"1549421957-694","http://www.hurriyet.com.tr/arama/#/?page=2&key=ibm&where=/&how=Article&platform=/&isDetail=false","IBM'in ikinci çeyrek net kar ve geliri artış gösterdi                                 ABD'li teknoloji şirketi IBM, bu yılın ikinci çeyreğinde net kar ve gelirinin artış gösterdiğini duyurdu.","http://www.hurriyet.com.tr/teknoloji/ibmin-ikinci-ceyrek-net-kar-ve-geliri-artis-gosterdi-40901527","ABD'li teknoloji şirketi IBM, bu yılın ikinci çeyreğinde net kar ve gelirinin artış gösterdiğini duyurdu.","19.07.2018 - 06:25"
"1549389889-434","http://www.hurriyet.com.tr/arama/#/?page=30&key=ibm&where=/&how=Article&platform=/&isDetail=false","Mekanları online hale getirecek İçmimarlar yetiştirilmeli                                 İZMİR Üniversitesi İçmimarlık ve Çevre Tasarımı Bölümü öğretim üyesi Yrd. Doç. Dr. Işıl Duman, geleceğin online mekanlarını tasarlayacak İçmimarların eğitimlerinin de dijital anlayışa sahip olması gerektiğini söyledi.","http://www.hurriyet.com.tr/ege/mekanlari-online-hale-getirecek-icmimarlar-yetistirilmeli-29349321","İZMİR Üniversitesi İçmimarlık ve Çevre Tasarımı Bölümü öğretim üyesi Yrd. Doç. Dr. Işıl Duman, geleceğin online mekanlarını tasarlayacak İçmimarların eğitimlerinin de dijital anlayışa sahip olması gerektiğini söyledi.","null"
"1549377454-131","http://www.hurriyet.com.tr/arama/#/?page=71&key=ibm&where=/&how=Article&platform=/&isDetail=false","IBM ILOG'u 340 milyon euroya aldı                                 IBM, yazılım şirketi ILOG'u 340 milyon avroya satın aldığını duyurdu.","http://www.hurriyet.com.tr/ekonomi/ibm-ilogu-340-milyon-euroya-aldi-11140544","IBM, yazılım şirketi ILOG'u 340 milyon avroya satın aldığını duyurdu.","05.03.2009 - 10:19"
"1549377325-106","http://www.hurriyet.com.tr/arama/#/?page=74&key=ibm&where=/&how=Article&platform=/&isDetail=false","IBM'den ışıkla veri taşıma teknolojisi                                 IBM'nin kablo yerine ışık kullanarak veri taşıyan yeni teknolojisiyle, 5 bin video dosyasının 1 ampulün tükettiği enerji kullanılarak 1 saniye içinde transfer edilebileceği bildirildi.","http://www.hurriyet.com.tr/gundem/ibmden-isikla-veri-tasima-teknolojisi-8341586","IBM'nin kablo yerine ışık kullanarak veri taşıyan yeni teknolojisiyle, 5 bin video dosyasının 1 ampulün tükettiği enerji kullanılarak 1 saniye içinde transfer edilebileceği bildirildi.","29.02.2008 - 10:31"
"1549405601-565","http://www.hurriyet.com.tr/arama/#/?page=16&key=ibm&where=/&how=Article&platform=/&isDetail=false","IBM'den tek atomluk veri deposu                                 ABD'li dev şirket IBM, tek bir atomdan oluşan bir mıknatıs geliştirmeyi başardı. IBM mühendisleri ayrıca tek atomluk mıknatısın içerisine bir bit boyutunda veri sığdırarak bir ilki gerçekleştirmiş oldu.","http://www.hurriyet.com.tr/teknoloji/ibmden-tek-atomluk-veri-deposu-40390435","ABD'li dev şirket IBM, tek bir atomdan oluşan bir mıknatıs geliştirmeyi başardı. IBM mühendisleri ayrıca tek atomluk mıknatısın içerisine bir bit boyutunda veri sığdırarak bir ilki gerçekleştirmiş oldu.","10.03.2017 - 08:14"
