web-scraper-order,web-scraper-start-url,tarih,link,link-href,intro
"1600195364-259","https://www.hurriyet.com.tr/arama/#/?page=225&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","7.3.2016","8 Mart Dünya Kadınlar Günü","",""
"1600195371-288","https://www.hurriyet.com.tr/arama/#/?page=222&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","7.3.2016","8 Mart Dünya Kadınlar Günü","","- Ordu Büyükşehir Belediye Başkanı Yılmaz, mesaj yayımladı"
"1600195840-2395","https://www.hurriyet.com.tr/arama/#/?page=11&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","23.7.2020","İçişleri Bakanı Süleyman Soylu: Kadına şiddete karşı alarm halindeyiz","","İçişleri Bakanı Süleyman Soylu, katıldığı bir radyo programında kadına yönelik şiddetle ilgili alınan önlemlerden söz etti. Kadın Destek Uygulaması KADES’ten bahseden Bakan Soylu, bir tıkla acil yardım talebinde bulunulabilen akıllı telefon uygulamasının 473 bin kişi tarafından indirildiğini, bu uygulamadan gelen 35 bin ihbara güvenlik birimlerinin hızlıca müdahale ederek gerekli işlemleri yaptığını söyledi."
"1600195709-1807","https://www.hurriyet.com.tr/arama/#/?page=70&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","10.12.2011","Emniyet'ten garip dayak savunması: Kadın konsomatristi","","İzmir’de ailesiyle gittiği eğlence yerinde yanında kimliği bulunmadığı için Karabağlar Karakolu’na götürülen, burada iki polis tarafından dakikalarca şiddet gören kadının yaşadıkları infial yarattı."
"1600195376-310","https://www.hurriyet.com.tr/arama/#/?page=220&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","19.2.2018","Kemer'de çocuk istismarı ve kadına şiddet protesto edildi","","Kemer'de çocuk istismarı ve kadına şiddet protesto edildi"
"1600195634-1462","https://www.hurriyet.com.tr/arama/#/?page=104&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","23.12.2019","Bakan Soylu: Kadına şiddet genelgesi yayınlayacağız","","İçişleri Bakanı Süleyman Soylu, Adalet Bakanlığı'nın kadına yönelik ve aile içi şiddetle ilgili genelge yayımladığını hatırlatarak, ""Biz de genelgeyi hazırladık. Bu hafta içinde 2020'ye gelmeden biz de yayımlayacağız. Karakola kim müracaat etmişse onun dilekçe verip vermemesine bakmayın, kodlayalım ve onu izlemeye alın. Özel birimler oluşturalım, tüm birimlerinizi harekete geçirelim"" dedi."
"1600195569-1171","https://www.hurriyet.com.tr/arama/#/?page=133&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","1.11.2017","Ataşehir'de kadına yumrukla saldırı davasında sanığa 5 ay 16 gün ceza verildi","","Ataşehir'de kadına yumrukla saldırı davasında sanığa 5 ay 16 gün ceza verildi"
"1600195482-787","https://www.hurriyet.com.tr/arama/#/?page=172&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","3.3.2018","Kadınlardan şiddete karşı 50 acil öneri","","TÜRKİYE’deki kadın ve LGBTİ+ örgütleri, hazırladıkları raporla kadına yönelik şiddete karşı alınması gereken 50 acil önlemi sıraladı."
"1600195403-421","https://www.hurriyet.com.tr/arama/#/?page=208&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","13.6.2016","Kara büyü boşanması!","","İstanbul'da inanılmaz bir boşanma davası başladı. Eşi ve kayınvalidesi tarafından aylarca fiziksel şiddet ve psikolojik baskıya uğradığını söyleyen Kübra Y., ""üzerinde kara büyü var"" denilerek elbiselerinin yakıldığını, eşyalarının kırıldığını ve kimseyle görüştürülmediğini belirtti."
"1600195607-1349","https://www.hurriyet.com.tr/arama/#/?page=116&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","25.12.2018","Merve Tula davasında flaş karar!","","Bağcılar’da Şubat ayında boşanma aşamasında olduğu eşi Merve Tula’yı darp ettiği iddia edilen Ercüment Tula’nın davası karara bağlandı. ‘Tehdit’ ve ‘hakaret’ suçlarından beraat eden Ercüment Tula, ‘eşe karşı kasten basit yaralama suçundan’ 6 ay hapis cezası aldı. Sanığın cezası ertelenmedi."
